,difficulty,titles,sci_info,eng_lang,syl_per_word,ws_per_sents,not_easy_words,avg_wd_length,polysyls,monosyls,modals_per_sent,adj,verb,adp,adv,sconj,cconj,aux,det,avg_verb_length,avg_adj_length,avg_adv_length,flesch_score,ari_score,dale_score,smog,gunning_fog,cli,linsear_raw,linsear
118,5,b128_LetterfromBirminghamJail.txt,1,0,1.497747748,17.72,0.25507900699999997,4.751693002,0.126410835,0.686936937,0.36,1.32,2.24,2.16,1.56,0.6,0.6,1.0,2.2,5.678571429,7.575757576,5.333333333,62.13974054,31.24047404,4.906609520529999,3.355543015,7.1900316029999995,10.46952596,22.2,11.1
119,5,b129_IHaveaDreamAddress.txt,1,0,1.385604113,19.13580247,0.167741935,4.387741935,0.09483871,0.7429305909999999,0.617283951,1.4197530859999998,2.679012346,2.530864198,0.839506173,0.444444444,0.641975309,1.12345679,2.802469136,5.050691243999999,6.1652173910000005,4.882352941000001,70.19005252,30.23416575,3.5977809561620004,3.307958942,7.721417762000001,8.453083871,22.7654321,11.38271605
120,5,b130_IKnowWhytheCagedBirdSings.txt,1,0,1.2893772890000001,13.75,0.123636364,4.189090909,0.047272727,0.765567766,0.45,0.9,2.55,1.15,0.8,0.4,0.6,0.75,1.65,5.5882352939999995,5.777777778,4.1875,83.79743132,26.60561818,2.63421818756,3.217422923,5.549454545,6.679127273,15.05,6.525
121,5,b131_HopeDespairandMemory.txt,1,0,1.424242424,10.45714286,0.166666667,4.396174863,0.103825137,0.707988981,0.228571429,0.6571428570000001,1.714285714,0.571428571,0.6,0.257142857,0.428571429,0.857142857,1.7428571430000002,6.216666667,6.086956522,4.619047619,75.73009091,25.93455504,3.150340957786,3.3222190819999997,4.24952381,7.2189071039999995,12.62857143,5.3142857139999995
122,5,b132_AddresstoStudents.txt,1,0,1.5078125,21.36111111,0.20936280899999998,4.77373212,0.137841352,0.688802083,0.305555556,1.4444444440000002,2.583333333,2.75,0.75,0.333333333,1.111111111,1.083333333,3.75,5.451612902999999,6.923076922999999,6.074074073999999,57.59253472,33.16483384,4.365349865166,3.371269919,8.628189568,10.88384915,27.25,13.625
123,5,b133_AQuiltofaCountry.txt,1,0,1.46,19.46428571,0.253211009,4.7633027519999995,0.110091743,0.6927272729999999,0.071428571,1.678571429,1.607142857,2.5714285709999998,1.285714286,0.571428571,0.8214285709999999,1.142857143,3.0,6.622222222,6.553191489,5.083333333,63.56275,32.16729882,4.9636304033259995,3.331800758,7.8869986889999995,10.68748624,23.75,11.875
124,5,b134_BuryMyHeartatWoundedKnee.txt,1,0,1.4662379419999998,20.86666667,0.249201278,4.904153355,0.111821086,0.675241158,0.0,2.2,2.0,3.2,0.7333333329999999,0.26666666699999997,0.8666666670000001,0.666666667,3.133333333,7.0,5.757575758,5.181818182,61.61160343,33.53189563,4.969874846452,3.3343966,8.446347178,11.61789137,25.53333333,12.76666667
125,5,b135_SonoftheMorningStar.txt,1,0,1.483660131,19.125,0.18627451,4.767973856,0.133986928,0.679738562,0.3125,1.375,3.125,1.6875,1.0625,0.875,1.125,1.25,2.1875,6.58,7.0,6.176470588,61.90547794,32.01965686,3.8898745129,3.366042249,7.724509804,10.68797386,24.25,12.125
126,5,b136_TheStoryofArtthEdition.txt,1,0,1.3728223,20.35714286,0.19298245600000002,4.3684210530000005,0.080701754,0.724738676,0.5,1.357142857,3.428571429,2.357142857,1.357142857,0.857142857,0.7142857140000001,0.9285714290000001,3.0,5.583333333,6.684210526,5.842105263,70.03173345,30.75383459,4.056907266096001,3.284080542,8.220050125,8.432280702,23.64285714,11.82142857
127,5,b137_CodABiographyoftheFishThatChangedtheWorld.txt,1,0,1.404166667,17.84615385,0.254310345,4.892241379,0.090517241,0.716666667,0.153846154,2.8461538460000004,1.307692308,2.076923077,1.0,0.23076923100000002,0.846153846,1.230769231,2.923076923,5.4117647060000005,6.540540541,5.384615385,69.92865385,31.96553382,4.90072957851,3.300860834,7.240185676,11.30775862,21.07692308,10.53846154
128,5,b138_BlackBlue.txt,1,0,1.5027027030000002,23.3125,0.233243968,4.949061662,0.128686327,0.689189189,0.0625,2.0625,2.5,2.8125,0.75,0.375,1.0,1.0,3.875,6.925,6.545454545,5.666666667,56.04416385,34.96633043,4.83922225472,3.358728765,9.418297587,12.03077748,29.3125,14.65625
129,5,b139_TheLongitudePrie.txt,1,0,1.271047228,25.47368421,0.17768595,4.45661157,0.05785124,0.7967145790000001,0.21052631600000002,1.473684211,2.789473684,3.736842105,1.473684211,0.473684211,1.263157895,1.052631579,4.3684210530000005,5.7547169810000005,5.607142857,4.714285714,73.44861504,33.7274826,4.0691558873160005,3.240522846,10.26054806,9.242892562,28.42105263,14.21052632
131,5,b141_BeforeColumbus.txt,1,0,1.435797665,17.2,0.189922481,4.748062016,0.12403100800000001,0.7237354090000001,0.066666667,1.8666666669999998,1.4,1.9333333330000002,1.6666666669999999,0.46666666700000003,0.666666667,1.133333333,2.266666667,5.952380952,5.892857143,4.76,67.90851751,30.96337209,3.8519959749900003,3.352180363,6.955968992000001,10.39767442,21.46666667,10.73333333
132,5,b142_Elements.txt,1,0,1.3754227730000002,15.23214286,0.193434936,4.600234467,0.089097304,0.753100338,0.0,2.035714286,1.214285714,1.464285714,0.607142857,0.517857143,0.982142857,1.446428571,2.910714286,6.044117647,6.763157895,4.970588235,75.01360837,29.28317577,3.809851925296,3.298491715,6.170231117,9.306119577999999,17.94642857,7.973214286
133,5,b143_ClassifyingtheStars.txt,1,0,1.393822394,19.92307692,0.231660232,4.586872587,0.06949806900000001,0.67953668,0.23076923100000002,1.846153846,2.538461538,3.1538461539999996,0.846153846,0.384615385,0.384615385,1.153846154,3.1538461539999996,6.3636363639999995,6.041666667,4.454545455,68.69570241,31.56570835,4.646099678512,3.263624865,8.061894862,9.685096525,22.69230769,11.34615385
134,5,b144_AmusementParkPhysics.txt,1,0,1.461016949,18.4375,0.213559322,4.586440678,0.111864407,0.718644068,0.0,1.4375,1.5,2.4375,0.8125,0.4375,0.4375,1.125,3.8125,7.041666667,6.826086957,6.0,64.5189036,30.82088559,4.28660169438,3.334461368,7.4604237289999995,9.562847458,22.5625,11.28125
135,5,b145_TheHotoneATerrifyingTrueStory.txt,1,0,1.35559461,15.19642857,0.178613396,4.493537015,0.081081081,0.747510252,0.223214286,1.026785714,2.375,1.625,0.633928571,0.27678571399999996,0.705357143,0.9464285709999999,2.205357143,5.77443609,6.0,5.61971831,76.72732096,28.76277363,3.5740483799120004,3.2847473989999996,6.150016787,8.674171563,17.66071429,7.830357143
136,5,b146_LifebytheNumbers.txt,1,0,1.333333333,18.78571429,0.201520913,4.273764259,0.057034220999999996,0.737254902,0.9285714290000001,1.857142857,3.142857143,1.928571429,0.571428571,0.5,0.857142857,0.571428571,2.857142857,5.840909091,5.884615385,4.625,74.9675,29.522286800000003,4.113786645054,3.2388183839999996,7.5948940789999995,7.754068441,20.92857143,10.46428571
137,5,b147_TheRacetoSaveLordGodBird.txt,1,0,1.435643564,14.0,0.208333333,4.7380952380000005,0.125,0.7287128709999999,0.194444444,0.916666667,2.194444444,1.6944444440000002,0.805555556,0.25,0.5555555560000001,0.611111111,1.5277777780000001,5.82278481,5.878787879,4.517241379,71.16955446,29.31642857,3.98398332807,3.353553391,5.683333332999999,9.945714286,17.5,7.75
138,5,b148_TheStoryofScienceNewtonattheCenter.txt,1,0,1.410810811,19.0,0.205263158,4.221052632,0.089473684,0.772972973,0.5,1.1,2.7,2.6,0.5,0.5,0.6,1.3,2.4,4.851851852,7.0,4.2,68.19540541,29.38115789,4.18350526482,3.2991215210000004,7.6821052629999995,7.461894737000001,22.4,11.2
140,6,b151_TheCanterburyTales.txt,0,1,1.182890855,16.04761905,0.154302671,4.086053412,0.029673591000000003,0.84660767,0.14285714300000002,0.904761905,2.047619048,2.142857143,1.095238095,0.333333333,1.2380952379999999,0.7142857140000001,1.904761905,4.88372093,5.210526316,4.47826087,90.47410029,27.2691211,3.2324010799700003,3.172260241,6.480768687,6.38148368,17.0,7.5
141,6,b152_DonQuixote.txt,0,1,1.3117010820000001,39.49019608,0.177259186,4.258192651,0.06405163900000001,0.764011799,0.431372549,2.470588235,4.803921569,5.352941176,2.019607843,1.607843137,2.078431373,2.019607843,5.705882353,5.804081632999999,5.76984127,4.72815534,55.78253948,39.80118543,4.757636272508,3.253084252,15.86698211,8.488619662,44.54901961,22.2745098
